use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
OFC GROSS,2000,60776.0,570 NEW WAVERLY PL,CARY,27518,WAVERLY OFFICE PARK LLC ,200 KETTLEBRIDGE DR,CARY NC 27511-6347,,0,0762636687
OFC GROSS,1998,60763.0,1121 SITUS CT,RALEIGH,27606,TSO SITUS OFFICE PARK LP ,1180 W PEACHTREE ST NW STE 200,ATLANTA GA 30309-3820,,8494553,0773939529
FLEX WHSE,1993,60735.0,140 SOUTHCENTER CT,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,15593676,0756500860
OFC GROSS,1997,60560.0,2300 REXWOODS DR,RALEIGH,27607,EGMP 2300 REXWOODS LLC ,RYAN LLC,PO BOX 92129,SOUTHLAKE TX 76092-0102,10550055,0785813353
OFC GROSS,1983,60237.0,6501 SIX FORKS RD,RALEIGH,27615,NORTHCHASE AT MIDTOWN LLC ,2900 HIGHWOODS BLVD STE 200,RALEIGH NC 27604-1036,,9817293,1707615431
FLEX WHSE,1984,60052.0,3200 SPRING FOREST RD,RALEIGH,27616,"FFV NC RALEIGH, LLC ",PO BOX 130339,CARLSBAD CA 92013-0339,,10449079,1726263112
SCHOOL,2001,59846.0,3420 IDLEWOOD VILLAGE DR,RALEIGH,27610,SOUTHEAST RALEIGH CHARTER FOUNDATION INC ,3420 IDLEWOOD VILLAGE DR,RALEIGH NC 27610-6090,,13110773,1712239353
FLEX WHSE,1997,59824.0,2205 WESTINGHOUSE BLVD,RALEIGH,27604,2205 WESTINGHOUSE II LP LIMITED PARTNERSHIP ,200 PARK AVE RM 803,NEW YORK NY 10166-0025,,8642335,1714995940
SCHOOL,1990,59688.0,320 CHAPANOKE RD,RALEIGH,27603,STEPHENS ENTERPRISES LLC ,319 CHAPANOKE RD STE 102,RALEIGH NC 27603-3433,,13764381,1702438086
OFC GROSS,1985,59648.0,702 OBERLIN RD,RALEIGH,27605,BEACON - OR702 LLC ,3600 SOUTH BLVD STE 250,CHARLOTTE NC 28209-0066,,10980129,1704044011
OFC GROSS,1983,59408.0,4700 HOMEWOOD CT,RALEIGH,27609,HIGHWOODS FORSYTH LIMITED PARTNERSHIP,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,8244620,1706621630
SCHOOL,1996,59382.0,202 TREYBROOKE DR,MORRISVILLE,27560,LAURA HOLLAND UZZELL FOUNDATION ,202 TREYBROOKE DR,MORRISVILLE NC 27560-9300,,19778812,0745881512
OFC GROSS,1998,58950.0,201 SHANNON OAKS CIR,CARY,27511,REVA KAY SHANNON OAKS LLC ,PO BOX 149664,AUSTIN TX 78714-0160,,6797586,0763318405
OFC GROSS,2002,58932.0,1051 SCHIEFFELIN RD,APEX,27502,3500 REGENCY PARKWAY LLC ,517 MERCURY ST,RALEIGH NC 27603-2341,,8862374,0741893517
NURSG HM,1991,58813.0,968 WAIT AVE,WAKE FOREST,27587,HILLSIDE NURSING CENTER LLC ,PO BOX 1826,WAKE FOREST NC 27588-1826,,10344423,1840984938
NURSG HM,2005,58483.0,2420 LAKE WHEELER RD,RALEIGH,27603,WAKE HEALTHCARE PROPERTIES INC ,PROPERTY TAX DEPT,1626 JEURGENS CT,NORCROSS GA 30093-2219,9924988,0792670305
OFC GROSS,1997,58477.0,208 S ROGERS LN,RALEIGH,27610,ELSTER ELECTRICITY 208 SOUTH ROGERS LANE RALEIGH NC LLC,GLADSTONE COMMERCIAL CORP,1521 WESTBRANCH DR STE 100,MC LEAN VA 22102-3211,8043645,1733269645
OFC GROSS,1988,58020.0,4191 FAYETTEVILLE RD,GARNER,27603,TL FAYETTEVILLE LLC ,4201 FAYETTEVILLE RD,RALEIGH NC 27603-3607,,4578634,1701385193
OFC GROSS,1999,58000.0,4401 ATLANTIC AVE,RALEIGH,27604,GREAT OPPORTUNITIES PROPERTIES (SOUTH BUILDING) LL ,3101 POPLARWOOD CT STE 101,RALEIGH NC 27604-1045,,8972826,1716728242
OFC GROSS,1996,58000.0,1130 SITUS CT,RALEIGH,27606,TSO SITUS OFFICE PARK LP ,1180 W PEACHTREE ST NW STE 200,ATLANTA GA 30309-3820,,8182045,0773936865
GYM,1999,57989.0,1040 VISION DR,APEX,27523,VISION DRIVE PARTNERS LLC ,JAMES I ANTHONY JR,1201 EDWARDS MILL RD STE 300,RALEIGH NC 27607-3625,9594722,0732671884
CHURCH,1997,57971.0,1020 AVIATION PKWY,MORRISVILLE,27560,BAPS RALEIGH LLC ,CORPORATE AFFAIRS,PO BOX 519,WINDSOR NJ 08561-0519,14267083,0756607461
CHURCH,2003,57887.0,512 ALLEN LEWIS DR,CARY,27513,RALEIGH CHINESE CHRISTIAN CHURCH ,512 ALLEN LEWIS DR,CARY NC 27513-9683,,17371738,0754962492
OFC GROSS,1984,57814.0,401 HARRISON OAKS BLVD,CARY,27513,ONE HARRISON PARK LLC ,102 WOODMONT BLVD STE 100,NASHVILLE TN 37205-2216,,11566956,0765970664
FLEX WHSE,1996,57792.0,13000 WESTON PKWY,CARY,27513,COC 13000 WESTON LLC ,110 MACKENAN DR,CARY NC 27511-7901,,12038640,0755648613
OFC GROSS,2001,57549.0,940 NW CARY PKWY,CARY,27513,940 NW CARY PARKWAY LLC ,940 NW CARY PKWY STE 110,CARY NC 27513-2792,,9309201,0755937279
OFC GROSS,1983,57510.0,6131 FALLS OF NEUSE RD,RALEIGH,27609,SPRINGFIELD COMMONS ACQUISITION LLC ,REDMARK LLC,1001 WADE AVE STE 300,RALEIGH NC 27605-3323,11432797,1717201065
SNGL TEN,1984,57252.0,801 HIGH HOUSE RD,CARY,27513,CARY TOWN OF ,REAL ESTATE DEPT TOWN OF CARY,PO BOX 8005,CARY NC 27512-8005,12374205,0753197293
OFC GROSS,1998,57125.0,2400 PERIMETER PARK DR,MORRISVILLE,27560,"DURHAM PERIMETER PARK 2, LLC ",60 STATE ST STE 3500,BOSTON MA 02109-1812,,9264272,0746948561
MULT TEN,2002,56940.0,1003 E BROAD ST,FUQUAY-VARINA,27526,MAIN STREET STATION OF NC LTD PTNSH ,270 W NEW ENGLAND AVE,WINTER PARK FL 32789-4226,,10953379,0667415192
OFC GROSS,1996,56760.0,5501 DILLARD DR,CARY,27518,DILLARD HOLDINGS LLC ,620 CROSSROADS BLVD,CARY NC 27518-6965,,8467686,0772993135
MULT TEN,1980,56540.0,2020 PROGRESS CT,RALEIGH,27608,PROGRESS CT PHASE 1 OWNER LLC ,"SLI CAPITAL, LLC",2626 GLENWOOD AVE STE 550,RALEIGH NC 27608-1370,17379653,1714198573
CHURCH,1982,56343.0,1417 CLIFTON ST,RALEIGH,27604,TEMPLE BAPTIST CHURCH ,1417 CLIFTON ST,RALEIGH NC 27604-2010,,11332985,1714055432
OFC GROSS,1978,56338.0,3801 LAKE BOONE TRL,RALEIGH,27607,"GATEWAY THREE REALTY ASSOCIATES, LLC ",95 FROEHICH FARM BLVD,WOODBURY NY 11797,,5831601,0795017719
OFC GROSS,1995,56272.0,6001 HOSPITALITY CT,CARY,27560,AERIAL CENTER REALTY CORP ,AEW CAPITAL MANAGEMENT,2 SEAPORT LN STE 1600,BOSTON MA 02210-2047,7217462,0756574085
CHURCH,1991,56052.0,2728 MARKS CREEK RD,,27545,FAITH BAPTIST CHURCH OF KNIGHTDALE NC INC,PO BOX 265,KNIGHTDALE NC 27545-0265,,11806497,1764299567
OFC GROSS,1993,55972.0,133 SOUTHCENTER CT,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,9931215,0756407274
FLEX WHSE,1984,55883.0,800 PERIMETER PARK DR,MORRISVILLE,27560,TGA KING EASTRIDGE OWNER LLC ,800 BOYLSTON ST STE 1570,BOSTON MA 02199-8203,,11771240,0756256799
OFC GROSS,2000,55850.0,4501 ATLANTIC AVE,RALEIGH,27604,GREAT OPPORTUNITIES PROPERTIES (NORTH BUILDING) LL ,3101 POPLARWOOD CT STE 101,RALEIGH NC 27604-1045,,7746435,1716728617
OFC GROSS,1988,55835.0,3001 SHELDON DR,CARY,27513,TEMPOSONICS LLC ,3001 SHELDON DR,CARY NC 27513-2006,,10836108,0755515680
SCHOOL,1994,55740.0,1101 BUCK JONES RD,CARY,27606,TRIAD EDUCATIONAL SERVICES INC ,3570 AMBERLIGHT RD,APEX NC 27502-7426,,12659448,0773742716
OFC GROSS,1975,55352.0,8024 GLENWOOD AVE,RALEIGH,27612,8024 GLENWOOD LLC ,2435 S ALSTON AVE,DURHAM NC 27713-1301,,6597624,0787039224
OFC GROSS,1984,55292.0,5510 SIX FORKS RD,RALEIGH,27609,5510 SIX FORKS ROAD LLC ,95 FROEHLICH FARM BLVD,WOODBURY NY 11797-2930,,8046992,1706677004
MULT TEN,2003,55172.0,800 W WILLIAMS ST,APEX,27502,PEAKWAY MARKET LLC ,PRATEEK CHANDAK,7930 SKYLAND RIDGE PKWY STE 200,RALEIGH NC 27617-6815,14628246,0742041210
OFC GROSS,1997,55000.0,2000 PERIMETER PARK DR,MORRISVILLE,27560,PERIMETER PARK OFFICES LP ,5 BRYANT PARK FL 28,NEW YORK NY 10018-0664,,9135067,0756052294
OFC GROSS,1984,54972.0,3105 GLENWOOD AVE,RALEIGH,27612,C & W INVESTMENTS ,3111 GLENWOOD AVE,RALEIGH NC 27612-5006,,7922329,0795940744
FLEX WHSE,1985,54856.0,300 PERIMETER PARK DR,MORRISVILLE,27560,TGA KING EASTRIDGE OWNER LLC ,800 BOYLSTON ST STE 1570,BOSTON MA 02199-8203,,11383764,0756352770
REST  HM,1998,54696.0,1050 CRESCENT GREEN,CARY,27518,SNH FM FINANCING LLC ,PO BOX 3075,MCKINNEY TX 75070-8182,,8223889,0762524003
FLEX WHSE,1983,54692.0,1000 PERIMETER PARK DR,MORRISVILLE,27560,TGA KING EASTRIDGE OWNER LLC ,800 BOYLSTON ST STE 1570,BOSTON MA 02199-8203,,9918096,0756250514
MED OFC GROSS,2005,54649.0,530 NEW WAVERLY PL,CARY,27518,OAKS DEVELOPMENT LLC ,1010 HIGH HOUSE RD STE 300,CARY NC 27513-3581,,0,0762635240
FLEX WHSE,1992,54632.0,101 SOUTHCENTER CT,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,12454947,0755497860
SCHOOL,1996,54402.0,1120 BUCK JONES RD,CARY,27606,THALES ACADEMY ,4641 PARAGON PARK RD,RALEIGH NC 27616-3406,,19960942,0773655135
OFC GROSS,1990,54190.0,120 SOUTHCENTER CT,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,9734829,0756502135
FLEX WHSE,1985,54006.0,1818 ST ALBANS DR,RALEIGH,27609,HARRISPARK PROPERTIES INC ,608 GASTON ST STE 200,RALEIGH NC 27603-1258,,5360117,1715684522
OFC GROSS,1983,53880.0,203 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,8624231,0775063308
OFC GROSS,2001,53861.0,2450 PERIMETER PARK DR,MORRISVILLE,27560,DURHAM PERIMETER PARK 3 LLC ,60 STATE ST STE 3500,BOSTON MA 02109-1812,,9176028,0746948260
FLEX WHSE,1998,53692.0,300 DOMINION DR,MORRISVILLE,27560,JAY'S COMMONWEALTH PARK LLC ,8586 POTTER PARK DR UNIT 881,SARASOTA FL 34238-5439,,8438394,0756516675
OFC GROSS,1994,53640.0,1800 PERIMETER PARK DR,MORRISVILLE,27560,PERIMETER PARK OFFICES LP ,5 BRYANT PARK FL 28,NEW YORK NY 10018-0664,,8538195,0756052533
REST  HM,1991,53635.0,801 DIXIE TRL,RALEIGH,27607,MORNINGSIDE RALEIGH NC SLC LLC ,TWO NEWTON PL,255 WASHINGTON ST,NEWTON MA 02458-1637,11358072,0794568418
MED OFC GROSS,1985,53045.0,3020 NEW BERN AVE,RALEIGH,27610,WAKEMED ,ATTN: CORPORATE ACCOUNTING,3000 NEW BERN AVE,RALEIGH NC 27610-1231,11571200,1724214028
HR OFFC,1981,52956.0,4200 WAKE FOREST RD,RALEIGH,27609,UNITED STATES POSTAL SERVICE THE ,% REAL ESTATE BRANCH,2245 PERIMETER PARK DR STE 17,ATLANTA GA 30341-1310,9316712,1716501058
NURSG HM,1987,52948.0,3830 BLUE RIDGE RD,RALEIGH,27612,HILLCREST RALEIGH AT CRABTREE LLC ,1417 W PETTIGREW ST,DURHAM NC 27705-4820,,10179826,0795475963
OFC GROSS,1989,52890.0,3000 AERIAL CENTER PKWY,CARY,27560,AERIAL CENTER REALTY CORP ,AEW CAPITAL MANAGEMENT,2 SEAPORT LN STE 1600,BOSTON MA 02210-2047,6725122,0756560662
FLEX WHSE,1986,52800.0,3221 DURHAM DR,RALEIGH,27603,MMP GOWEN HOLDINGS LLC ,MARTIN AND MARTIN PROPERTIES LLC,4125 W NOBLE AVE STE 381,VISALIA CA 93277-1662,4445237,1702516825
SCHOOL,1999,52736.0,931 DURHAM RD,WAKE FOREST,27587,F R O LLC VII ,C/O JIM HASTINGS CPA,305 PIPING ROCK DR,SILVER SPRING MD 20905-5651,9588154,1831505761
OFC GROSS,1987,52711.0,3001 WESTON PKWY,CARY,27513,RED STORM ENTERTAINMENT INC ,3001 WESTON PKWY,CARY NC 27513-2301,,8420202,0765574341
REST  HM,1988,52697.0,4510 DURALEIGH RD,RALEIGH,27612,NC4 COVINGTON LLC ,4510 DURALEIGH RD,RALEIGH NC 27612-3534,,7958654,0786408588
CHURCH,1988,52659.0,8400 POOLE RD,,27545,BETHLEHEM BAPTIST CHURCH ,8400 POOLE RD,KNIGHTDALE NC 27545-9154,,7840655,1752387398
REST  HM,1984,52399.0,600 NEWTON RD,RALEIGH,27615,VSCRE HOLDINGS LLC ,ALTUS GROUP US INC #3846,PO BOX 808,COCKEYSVILLE MD 21030-0808,8241233,1707744874
FLEX WHSE,1990,52275.0,2111 HARROD ST,RALEIGH,27604,GREENWOOD NC LLC ,7508 WELCOME DR,WAKE FOREST NC 27587-5326,,5914815,1716715281
OFC GROSS,1979,52225.0,4225 DALY RD,RALEIGH,27604,RALEIGH CITY OF ,PO BOX 590,RALEIGH NC 27602-0590,,13158158,1725848613
MULT TEN,1993,52180.0,5910 DURALEIGH RD,RALEIGH,27612,WIDGEON ASSOCIATES LLC ,1205 KINGS GRANT DR,RALEIGH NC 27614-9355,,10336009,0786573672
SCHOOL,2003,51982.0,801 BUCK JONES RD,RALEIGH,27606,CARDINAL GIBBONS MEMORIAL HIGH SCHOOL ,FRANK TORTORA,7200 STONEHENGE DR,RALEIGH NC 27613-1622,8939998,0773851913
OFC GROSS,1980,51956.0,5151 GLENWOOD AVE,RALEIGH,27612,ALPHA BETA CENTER LLC ,3700 GLENWOOD AVE STE 430,RALEIGH NC 27612-5530,,6191504,0796220746
CHURCH,1993,51924.0,3000 ROCK QUARRY RD,RALEIGH,27610,WORD OF GOD FELLOWSHIP ,3000 ROCK QUARRY RD,RALEIGH NC 27610-5110,,9036535,1712963537
OFC GROSS,2000,51804.0,1400 CRESCENT GREEN,CARY,27518,HR NORTH CAROLINA LLC ,3310 W END AVE STE 700,NASHVILLE TN 37203-1097,,9406234,0762421440
OFC GROSS,1987,51665.0,2000 AERIAL CENTER PKWY,CARY,27560,AERIAL CENTER REALTY CORP ,AEW CAPITAL MANAGEMENT,2 SEAPORT LN STE 1600,BOSTON MA 02210-2047,6258780,0756466793
MULT TEN,1986,51400.0,6320 CAPITAL BLVD,RALEIGH,27616,DAVID J & MARILYN B MARTIN IRREVOCABLE TRUST ,2201 CANDUN DR STE 103,APEX NC 27523-6413,,11541850,1727428144
FLEX WHSE,1997,51268.0,2121 E WILLIAMS ST,APEX,27539,MCI ENTERPRISES LLC ,2121 E WILLIAMS ST STE 100,APEX NC 27539-7765,,13037446,0740956324
FLEX WHSE,1981,51200.0,3500 SPRING FOREST RD,RALEIGH,27616,ARBOR PROPERTIES ,5121 KINGDOM WAY STE 200,RALEIGH NC 27607-6063,,5723207,1726366049
OFC GROSS,2001,50962.0,4101 DOIE COPE RD,RALEIGH,27613,FAMILY VIDEO MOVIE CLUB INC ,209 POWELL PL,BRENTWOOD TN 37027-7522,,7424188,0787128535
FLEX WHSE,1985,50851.0,3221 WELLINGTON CT,RALEIGH,27615,TL LINCOLN PARK NORTH PROPERTY OWNER LP LIMITED PA ,TOWN LANE REAL ESTATE OPPORTUNITIES,200 PARK AVE RM 803,NEW YORK NY 10166-0025,5219943,1727488227
FLEX WHSE,1988,50720.0,100 DOMINION DR,MORRISVILLE,27560,FRANK R ANDERSON REALTY & INVESTMENT CO ,PO BOX 90367,RALEIGH NC 27675-0367,,7837642,0756616106
NURSG HM,1983,50696.0,3609 BOND ST,RALEIGH,27604,HILLCO LTD ,PO BOX 6159,KINSTON NC 28501-0159,,5492241,1724470760
FLEX WHSE,1984,50600.0,3645 TRUST DR,RALEIGH,27616,AF5 RALEIGH LIGHT INDUSTRIAL LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,8435001,1726477989
FLEX WHSE,1995,50400.0,125 INTERNATIONAL DR,MORRISVILLE,27560,TOWN OF MORRISVILLE ,100 TOWN HALL DR,MORRISVILLE NC 27560-8147,,6308879,0755284553
FLEX WHSE,1989,50340.0,201 KITTY HAWK DR,CARY,27560,GWC/KITTY HAWK LLC ,ATLANTIC INVESTMENT MANAGEMENT LLC,4104 ATLANTIC AVE STE 140,RALEIGH NC 27604-1803,6765413,0757779560
FLEX WHSE,1985,50330.0,2810 YONKERS RD,RALEIGH,27604,2810 YONKERS LLC ,23801 CALABASAS RD STE 2024,CALABASAS CA 91302-1568,,6336171,1714977392
MED OFC GROSS,1998,50220.0,4201 LAKE BOONE TRL,RALEIGH,27607,EGMP 4201 LAKE BOONE TRAIL LLC ,RYAN LLC,PO BOX 92129,SOUTHLAKE TX 76092-0102,11936431,0785818541
OFC GROSS,1994,49905.0,8000 WESTON PKWY,CARY,27513,N C BAR ASSOC FOUNDATION INC ,8000 WESTON PKWY STE 320,CARY NC 27513-2123,,11255038,0765170351
CHURCH,2003,49812.0,200 WESTHIGH ST,CARY,27513,WESTWOOD BAPTIST CHURCH OF CARY ,200 WESTHIGH ST,CARY NC 27513-5736,,12608954,0743948543
FLEX WHSE,1985,49782.0,118 MACKENAN DR,CARY,27511,AF5 RALEIGH LIGHT INDUSTRIAL LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,9370005,0752619676
OFC GROSS,1987,49754.0,3500 REGENCY PKWY,CARY,27518,3500 REGENCY PARKWAY LLC ,517 MERCURY ST,RALEIGH NC 27603-2341,,9225969,0762302536
FLEX WHSE,1986,49643.0,2700 GATEWAY CENTRE BLVD,CARY,27560,2700 GATEWAY CENTRE LLC ,2108 CLARK AVE,RALEIGH NC 27605-1606,,9136177,0756736770
OFC GROSS,1982,49233.0,3201 GLENWOOD AVE,RALEIGH,27612,CHAUCER 2.0 LLC ,3111 GLENWOOD AVE,RALEIGH NC 27612-5006,,6744963,0795859301
FLEX WHSE,2000,49050.0,1900 GARNER STATION BLVD,GARNER,27603,TI LINCOLN PARK SOUTH PROPERTY OWNER LP LIMITED PA ,200 PARK AVE RM 803,NEW YORK NY 10166-0025,,5967314,1701097223
FLEX WHSE,1998,49050.0,2000 GARNER STATION BLVD,GARNER,27603,TI LINCOLN PARK SOUTH PROPERTY OWNER LP LIMITED PA ,200 PARK AVE RM 803,NEW YORK NY 10166-0025,,7192880,1701094119
OFC GROSS,1996,49031.0,3304 GLEN ROYAL RD,RALEIGH,27617,HEALING PLACE OF WAKE COUNTY THE ,1251 GOODE ST,RALEIGH NC 27603-2261,,9003427,0777368287
NURSG HM,1991,48842.0,6590 TRYON RD,CARY,27518,"FC ENCORE CARY, LLC ",OMEGA HEALTHCARE INVESTORS INC,303 INTERNATIONAL CIR STE 200,HUNT VALLEY MD 21030-1359,10483137,0762954640
NURSG HM,1997,48824.0,3101 DURALEIGH RD,RALEIGH,27612,PRIME CARE ONE LLC ,450 E 96TH ST STE 500,INDIANAPOLIS IN 46240-3760,,13440177,0785649530
MULT TEN,1991,48739.0,6701 GLENWOOD AVE,RALEIGH,27612,NOBLE HOSPITALITY INC PHILLIPS FOOD SHOP INC,101 SWIFT WIND PL,APEX NC 27539-5113,,7277151,0786588214
CHURCH,1997,48233.0,4400 OLD POOLE RD,RALEIGH,27610,ABUNDANT LIFE CHURCH OF GOD IN CHRIST,4400 OLD POOLE RD,RALEIGH NC 27610-3033,,6502260,1723828709
FLEX WHSE,1984,48200.0,2725 E MILLBROOK RD,RALEIGH,27604,ALLISON PROPERTIES INC ,CAPITAL ASSOCIATES,1501 SUNRISE AVE STE 100,RALEIGH NC 27608-2689,7973003,1726243659
OFC GROSS,1981,48174.0,6200 FALLS OF NEUSE RD,RALEIGH,27609,NORTH STATE BANK ,6204 FALLS OF NEUSE RD,RALEIGH NC 27609-3506,,8062812,1717207958
FLEX WHSE,1983,48110.0,900 PERIMETER PARK DR,MORRISVILLE,27560,TGA KING EASTRIDGE OWNER LLC ,800 BOYLSTON ST STE 1570,BOSTON MA 02199-8203,,9620222,0756250838
STOR/OFC,1988,48079.0,4112 PLEASANT VALLEY RD,RALEIGH,27612,ZEISLER MORGAN INDUSTRIES LTD LIABILITY CO,30000 CHAGRIN BLVD,CLEVELAND OH 44124-5783,,6182564,0786785203
OFC GROSS,1975,48052.0,3739 NATIONAL DR,RALEIGH,27612,NATIONAL DRIVE HOLDINGS LLC ,1225 17TH ST STE 1100,DENVER CO 80202-5599,,5879830,0795993108
OFC GROSS,1994,47634.0,1015 AVIATION PKWY,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,8615440,0756509513
MED OFC GROSS,1997,47625.0,1001 ROCK QUARRY RD,RALEIGH,27610,ADVANCE COMMUNITY HEALTH INC ,1001 ROCK QUARRY RD,RALEIGH NC 27610-3825,,15390906,1713440583
CHURCH,2003,47262.0,3525 ROGERS RD,WAKE FOREST,27587,HOPE LUTHERAN CHURCH INC ,3525 ROGERS RD,WAKE FOREST NC 27587-4899,,12564322,1840601854
MULT TEN,1997,47255.0,4601 CREEDMOOR RD,RALEIGH,27612,SDC GLENWOOD PLACE LLC ,405 N LAMAR BLVD STE 200,AUSTIN TX 78703-2111,,14793832,0796425565
OFC GROSS,1988,47169.0,1421 MEADOW WOOD BLVD,RALEIGH,27604,N C EASTERN MUNICIPAL POWER ET AL AGENCY,MANAGER SUPPORT SERVICES,1427 MEADOW WOOD BLVD,RALEIGH NC 27604-1532,8177188,1715532496
CHURCH,1990,47053.0,6612 CREEDMOOR RD,,27613,ASBURY CHURCH RALEIGH INC ,6612 CREEDMOOR RD,RALEIGH NC 27613-3644,,11378990,0797547522
MED OFC GROSS,1981,46938.0,3801 WAKE FOREST RD,RALEIGH,27609,3801WF LLC ,3801 WAKE FOREDST ROAD,SUITE 220,RALEIGH NC 27609,11075203,1715384920
OFC GROSS,1998,46784.0,3110 EDWARDS MILL RD,RALEIGH,27612,TDG EDWARDS MILL LLC ,4505 COUNTRY CLUB RD STE 220,WINSTON SALEM NC 27104-3509,,6757208,0785754394
OFC GROSS,1996,46750.0,110 HORIZON DR,RALEIGH,27615,HORIZON IV HOLDINGS LLC HORIZON IV - T HOLDINGS LLC,200 HORIZON DR STE 100,RALEIGH NC 27615-4947,,6563323,1707379199
REST  HM,1995,46672.0,4801 EDWARDS MILL RD,RALEIGH,27612,SJV 1 RALEIGH LLC ,BROOKFIELD ASSET MGMT,250 VESEY ST FL 15,NEW YORK NY 10281-1065,8137545,0796301789
CHURCH,1987,46564.0,3008 OLD RALEIGH RD,APEX,27502,SAINT ANDREW THE APOSTLE CATHOLIC PARISH OF APEX ,3009N OLD RALEIGH RD,APEX NC 27502-6413,,11389063,0752249576
CHURCH,1986,46561.0,9801 DURANT RD,RALEIGH,27614,OPEN DOOR BAPTIST CHURCH OF RALEIGH NC INC,9801 DURANT RD,RALEIGH NC 27614-9367,,9679251,1728428643
SCHOOL,1983,46479.0,504 NEWTON RD,RALEIGH,27615,BETH MEYER SYNAGOGUE INC ,504 NEWTON RD,RALEIGH NC 27615-6212,,10004823,1707740507
FLEX WHSE,1997,46390.0,1771 NW MAYNARD RD,CARY,27513,SUNSPEC PROPERTIES LLC ,ALISON S UTHE,3410 HATTERAS CT,RALEIGH NC 27607-6772,9927973,0754846614
CHURCH,1999,46291.0,808 ATWATER ST,RALEIGH,27607,ISLAMIC ASSOCIATION OF RALEIGH ,3020 LIGON ST,RALEIGH NC 27607-5308,,10610416,0794126638
CHURCH,1987,46068.0,10520 STAR RD,WAKE FOREST,27587,LIVING WORD FAMILY CHURCH INC ,PO BOX 61129,RALEIGH NC 27661-1129,,11412287,1739640646
OFC GROSS,1988,46067.0,333 CHURCH AT NORTH HILLS ST,RALEIGH,27609,CHURCH OF THE APOSTLES OF RALEIGH ,ATTN: PATRICK DOMINGUEZ,333 CHURCH AT NORTH HILLS ST,RALEIGH NC 27609-5177,15343296,1705895065
OFC GROSS,2001,45947.0,6880 PERRY CREEK RD,RALEIGH,27616,PERRY CREEK RE HOLDING LLC ,1812 TILLERY PL STE 100,RALEIGH NC 27604-1584,,7143393,1737712907
OFC GROSS,1998,45927.0,6716 SIX FORKS RD,RALEIGH,27615,RALEIGH CITY OF ,PO BOX 590,RALEIGH NC 27602-0590,,9056607,1707622670
FLEX WHSE,1986,45889.0,3101 STONY BROOK DR,RALEIGH,27604,TRAWICK COMMERCIAL CENTER LLC ,PO BOX 464,RALEIGH NC 27602-0464,,5432701,1725139154
OFC GROSS,1996,45567.0,333 E SIX FORKS RD,RALEIGH,27609,TGH LLC ,343 E SIX FORKS RD STE 300,RALEIGH NC 27609-7888,,6586082,1715043272
OFC GROSS,1998,45567.0,343 E SIX FORKS RD,RALEIGH,27609,DOUGLAS M HOBBS LLC ,343 E SIX FORKS RD STE 300,RALEIGH NC 27609-7888,,6501248,1715046161
OFC GROSS,2004,45160.0,9131 ANSON WAY,RALEIGH,27615,TDG MADISON PARK III LLC ,4505 COUNTRY CLUB RD STE 220,WINSTON SALEM NC 27104-3509,,6598328,1708415151
MED OFC GROSS,2005,45144.0,700 RESEARCH DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,14737847,0765947778
SCHOOL,2002,45130.0,3815 ROCK QUARRY RD,RALEIGH,27610,CHARTER DEVELOPMENT COMPANY LLC ,3850 BROADMOOR AVE SE STE 201,GRAND RAPIDS MI 49512-3975,,9015395,1722460857
OFC GROSS,1991,45109.0,1400 PERIMETER PARK DR,MORRISVILLE,27560,PUTNAM HOLDINGS LLC ,1400 PERIMETER PARK DR,MORRISVILLE NC 27560-9161,,7511012,0756069072
MED OFC GROSS,2001,45094.0,2406 BLUE RIDGE RD,RALEIGH,27607,HARDEN ROAD ASSOCIATES LLC ,2501 BLUE RIDGE RD STE 280,RALEIGH NC 27607-6367,,8670223,0785715187
MULT TEN,1987,44964.0,556 VILLAGE CT,GARNER,27529,M.A.L. PROPERTIES LLC ,319 CHAPANOKE RD STE 102,RALEIGH NC 27603-3433,,5310683,1711321871
