name,address,city,zip,phone,type,hood_hits,repeat,last_inspection,inspector_note
WANG'S KITCHEN,3631 NEW BERN AVE ,RALEIGH,27610,(919) 212-8805,1 - Restaurant,1,True,2025-02-11, walls; pipes around cooking line; vent hood filters; and stained/discolored ceiling tiles...Physical facilitie
SMOKESTACKS CAFE,701 E LANE ST ,RALEIGH,27601,(919) 736-6408,1 - Restaurant,1,True,2025-02-26,lishment. Especially cooking equipment; hood filters; shelving units; racks;inside coolers including walk in. N
APPLEBEE'S # 1086,6609 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 266-5939,1 - Restaurant,1,True,2025-02-26,ak.  6-501.11; Core - (REPEAT) Observed soiled vent hood filters above cooking; some ceiling vents and tiles; wall; 
SONIC DRIVE-IN #4349,4648 ATLANTIC AVE ,RALEIGH,27604,(919) 876-5185,1 - Restaurant,1,True,2025-02-26,eat] Walls; baseboards; and ventilation hoods and filters in kitchen were soiled or with dust/grease build-up...Increase cleaning frequency of surfaces/fixtures above
TAIPEI CAFE,9825-G CHAPEL HILL RD ,MORRISVILLE,27560,(919) 380-8568,1 - Restaurant,1,True,2025-03-05,-601.11(B) and (C) Stainless steel fume hood surfaces soiled with grease build up. Nonfood-contact surfaces of equipment shall be kept fre
CHICK-FIL-A #1760,6711 KNIGHTDALE  BLVD ,KNIGHTDALE,27545,(919) 754-4977,1 - Restaurant,1,True,2025-03-21,and baseboards); sink drain pipes; vent hood filters above chicken fryers...Physical facilities shall be kept c
MOE'S SOUTHWEST GRILL - WEST CARY,5020 ARCO ST ,CARY,27519,(919) 230-1720,1 - Restaurant,1,True,2025-03-25,ood Contact Surfaces; and Utensils  (C) Exhaust vent had accumulations of grease and cabin etry below tea kegs had accumulations of black re
SALTGRASS STEAKHOUSE,6601 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 217-7070,1 - Restaurant,1,True,2025-03-31,ensation leaks.   6-501.12; Core - Vent hood above dish machine and ceiling vent grates were soiled/dusty...Physical facilities shall be kept clean...Increase clean
KUMBALA BAR   GRILL,3945 NEW BERN  AVE ,RALEIGH,27610,(919) 231-0335,1 - Restaurant,1,True,2025-04-10,ed light shield.  6-501.12; Core - Vent hood filters and vent hood were dusty and had some grease build-up...Physical facilities shall be kept clean...Increase cle
MEEZ MARKET   CATERING,8320-108 LITCHFORD RD ,RALEIGH,27615,(252) 327-2445,2 - Food Stands,1,True,2025-06-05,ing; walls; pipes under sinks; and vent hood filters...Physical facilities shall be kept clean...Increase clean
TERIYAKI PLACE,5959 TRIANGLE TOWN BLVD ,RALEIGH,27616,(919) 792-0111,2 - Food Stands,1,True,2025-06-26,ed.  6-501.12; Core - (REPEAT) Observed dusty/soiled ceiling and vent surfaces in kitchen area and soiled vent hood filters. Flooring under equipment and cabinets in front are
WINGSTOP,2920 FORESTVILLE RD,RALEIGH,27616,(984) 234-5742,1 - Restaurant,1,True,2025-06-27,ners; in office/storage room. Some vent hood filters and fire suppression components had grease accumulation...Physical facilities shall be kept clean...In
FOOD LION #1481 DELI ,7713 LEAD MINE RD ,RALEIGH,27615-4805,(919) 518-1607,2 - Food Stands,1,True,2025-07-07,4-602.13; Core; Observed some debris buildup on the grab-and-go cooler shelf and some minor residue buildup on the hood vents.   Nonfood-contact surfaces of equipment shall be cle
OUTBACK STEAKHOUSE #3459,5200 CAPITAL BLVD ,RALEIGH,27616,(919) 790-0990,1 - Restaurant,1,True,2025-07-08, dish washing areas; floor drains; vent hood above dish machine and some cooking line vent hood filters...Physical facilities shall be kept clean...Increase clean
RED BOWL ASIAN BISTRO,6360 PLANTATION CENTER  DR ,RALEIGH,27616,(919) 790-9222,1 - Restaurant,1,True,2025-07-30, dusty evaporator fan covers. Many vent hood filters were soiled with grease build-up...Physical facilities shall be maintained clean...Increa
CHICK-FIL-A AT SIX FORKS & STRICKLAND,8661 SIX FORKS RD,RALEIGH,27615,(919) 848-6715,1 - Restaurant,1,True,2025-08-14,me of the raw chicken refrigerators and dust buildup on the vents on hood #3.  Nonfood contact surfaces of equipment shall be kept fr
MCDONALDS #34433,4980 CARY GLEN BLVD ,CARY,27519,(919) 462-9904,1 - Restaurant,1,True,2025-10-06,ood Contact Surfaces; and Utensils  (C) Exhaust vent panels along burger cook line were soiled with grease accumulations. Coffee milk cooler had accumulations of food
HARDEE'S #1205,2304 GORMAN ST,RALEIGH,27606,(919) 233-8287,1 - Restaurant,1,True,2025-10-28, of equipment; particularly the fryers. Grease buildup-up on hood vent system. NonFOOD-CONTACT SURFACES of EQUIPMENT shall be
PAPA JOHNS,877 E GANNON AVE ,ZEBULON,27597,(919) 421-5555,1 - Restaurant,1,True,2025-12-08,tsides of equipment; shelving units and hood filters. Repeat. 
BIG ED'S CITY MARKET RESTAURANT,220 WOLFE ST ,RALEIGH,27601,(919) 836-9909,1 - Restaurant,1,True,2026-01-16, cooler with some residue accumulation. Hood vents over cook line with dust/residue accumulation. NonFOOD-CONTACT SURFACES of EQUIPMENT shall b
MCALISTERS DELI #100956,5505-104 CAPITAL BLVD ,RALEIGH,27616,(919) 900-7846,1 - Restaurant,1,True,2026-01-16,were yellowed/brown and/or soiled. Vent hood above large ovens was dusty...Physical facilities shall be kept clean...Increase clean
BJ'S MEMBERSHIP CLUB #177 DELI/MEAT MARKET,6301 TRIANGLE PLANTATION DR ,RALEIGH,27616,(919) 278-1000,2 - Food Stands,1,True,2026-01-20,d baseboards were soiled. In deli; vent hood above oven was soiled; and floor drain and pipes were soiled in 3-comp sink roo
HARRIS TEETER #430 - DELI,885 WALNUT ST.,CARY,27511,(919) 481-4251,2 - Food Stands,1,True,2026-01-30,ment had grease/soil build-up; and vent hood above had condensation/grease build-up. Ceiling vents in bathrooms were dusty...Physical facili
LEMONGRASS THAI RESTAURANT,8320-142 LITCHFORD RD ,RALEIGH,27615,(919) 954-0377,1 - Restaurant,1,True,2026-02-27, flooring under cooking line. Some vent hood filters were soiled...Physical facilities shall be kept clean...Increase clea
FIRST WATCH #6047,"6320 CAPITAL  BLVD, STE 130",RALEIGH,27161,(919) 900-8355,1 - Restaurant,1,True,2026-03-31,eens had grease/soil build-up; and vent hood stack above dish machine was soiled....Physical facilities shall be kept clean...Increase cle
WANG'S KITCHEN,6300-114 CREEDMOOR RD ,RALEIGH,27612,(919) 846-8820,1 - Restaurant,1,True,2026-04-23, on the wall around the pipes and oven; grease buildup throughout the hood; and 3-compartment sink.  The flooring in the bathroom is a
APPLEBEE'S #1125 ,1480 N MAIN ST ,FUQUAY-VARINA,27526,(919) 552-1521,1 - Restaurant,1,True,2026-05-27,with food splatter and residue buildup. Build-up observed on hood ventilation system. Handwashing sink basins soiled. Non-foo
STEVE'S PLACE,6320 CAPITAL  BLVD ,RALEIGH,27616,(919) 872-2222,2 - Food Stands,1,True,2026-05-28,m).  6-501.12; Core - (REPEAT) Observed soiled vent hood filters; flooring; floor drains; drain pipes; walls and cei
CAROLINA SUSHI   ROLL,5951-107 POYNER VILLAGE PKY ,RALEIGH,27616,(919) 981-5835,1 - Restaurant,1,True,2026-07-07,under equipment) were soiled. Some vent hood filters had grease build-up. Physical facilities shall be kept clean. Increase clean
AVENT FERRY PIZZA,3231 AVENT FERRY RD,RALEIGH,27606-3171,(919) 703-0027,1 - Restaurant,1,True,2026-07-15,ce accumulation inside walk-in freezer. Cleaning needed on hood ventilation system. NonFOOD-CONTACT SURFACES of EQUIPMENT s
A TODA MADRE,3421 SUMNER BLVD,RALEIGH,27616,(919) 900-7163,1 - Restaurant,1,True,2026-07-15,by dish machine.  6-501.12; Core - Vent hood filters above cooking line were soiled and kitchen ceiling tiles were dusty/soiled in some areas. Physical facilities shall be kept clean. I
APEX WINGS,518 E WILLIAMS ST ,APEX,27502-2151,(919) 387-0082,1 - Restaurant,1,True,2026-07-22,lowing surfaces are soiled and shall be cleaned: food debris on floors throughout kitchen/food prep area and the hood system has excessive grease and grime build up. PHYSICAL FA
SITTI BY NEOMONDE,137 S WILMINGTON  ST ,RALEIGH,27601,(919) 239-4070,1 - Restaurant,1,True,2026-07-30,6-501.11; Core; Two filter panels of the cook area hood system are not seated properly; with gapped open areas.  PH
BREWERY BHAVANA,218 S BLOUNT ST ,RALEIGH,27601,(919) 829-9998,1 - Restaurant,1,True,2026-08-05,dish room side. Piping by the main cook hood also with dust/residue accumulation. In side hall walk-in cooler; some residue acc
LEO'S ITALIAN SOCIAL,1301 MARKET CENTER DR ,MORRISVILLE,27560,(919) 234-0860,1 - Restaurant,1,False,2024-08-01,coated in dust accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
POPEYES #12346,7120 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 295-5757,1 - Restaurant,1,False,2024-08-01,strips at walk-in cooler door; and vent hood interiors and filters. Large amount of ice was on walk-in freezer floor...Physic
FOOD LION #723 DELI ,7053 KNIGHTDALE BLVD ,KNIGHTDALE,27545-8800,(919) 266-5164,2 - Food Stands,1,False,2024-08-13,m breaker cover.; 6-501.12; Core - Vent hood above bakery oven and vent filters above cook line were soiled. Walk-in freezer flooring was soiled...Physical facilitie
SAMOONI ITALIAN RESTAURANT,7144 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 373-0072,1 - Restaurant,1,False,2024-08-14,6-501.12; Core - Observed soiled hood filters above cooking line; flooring in dish machine area; 
WAFFLE HOUSE,1412 N MAIN ST ,FUQUAY-VARINA,27526,(919) 552-2187,1 - Restaurant,1,False,2024-08-19, Clean vent over grill area. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
DOMINO'S,9825-E CHAPEL HILL ROAD ,MORRISVILLE,27560,(919) 319-7000,2 - Food Stands,1,False,2024-08-19,6-501.12; Core; Observed soiled/ greasy  hood above pizza oven.    Physical facilities shall be cleaned a
DOMINOS #4453,4412 FALLS OF NEUSE RD ,RALEIGH,27609,(919) 636-8949,1 - Restaurant,1,False,2024-08-20,4-601.11(B) and (C); Core; Grease accumulation in hood and on outside of oven. NonFOOD-CONTACT SURFACES of EQUIPME
HODGE ROAD ELEMENTARY CAFETERIA,2128 MINGO BLUFF BLVD,KNIGHTDALE,27545,(919) 266-8599,11 - Public School Lunch,1,False,2024-08-23,cent tiles; ceiling light shields; Vent hood filters; bathroom ceiling vent; mop sink/can wash walls and basin.
SPRING ARBOR OF APEX FOOD SERVICE,901 SPRING ARBOR CT ,APEX,27502,(919) 303-9990,16 - Institutional Food Service,1,False,2024-08-26,chen have dust accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
CURRY HOUSE,2101 S MAIN ST,WAKE FOREST,27587,(919) 985-7244,1 - Restaurant,1,False,2024-08-26,1.11(B) and (C); Core; The vents in the hood have a buildup of oil and debris and the burners on the range have a buildup of burnt on food debris.  Non-food contact surfaces of eq
PENNY ROAD ELEMENTARY CAFETERIA,10900 PENNY RD ,CARY,27518,(919) 387-2143,11 - Public School Lunch,1,False,2024-08-28,coated in dust accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
FUQUAY VARINA HIGH SCHOOL CAFETERIA,201 BENGAL  BLVD ,FUQUAY-VARINA,27526,(919) 557-2511,11 - Public School Lunch,1,False,2024-09-03,14; Core; Grease filters need cleaning. Exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
FOOD LION #2504 DELI ,1030-125 N ROGERS LN ,RALEIGH,27610,(919) 792-0321,2 - Food Stands,1,False,2024-09-03,tures above.; 6-501.12; Core - Observed soiled ventilation hood interiors above cooking line; walk-in freezer floor; front 
NORTH WAKE COUNTY BASEBALL CONCESSION STAND,1845 GRANDMARK ST ,WAKE FOREST,27587,(919) 744-9949,2 - Food Stands,1,False,2024-09-05,4-601.11(B) and (C); Core; The hood and ceiling vents as well as under the flattop have a  buildup of oil/food residue; the inside of the microwave above the flip top cooler as w
WAFFLE HOUSE #1161,3703 NEW BERN AVE ,RALEIGH,27610,(919) 231-1292,1 - Restaurant,1,False,2024-09-06,4-903.11(A); (B) and (D); Core - Some clean dishes stored on shelf on vent hood top were splattered with food debris...Clean equipment and 
LIGON MIDDLE SCHOOL CAFETERIA,706 E LENOIR ST ,RALEIGH,27601,(919) 856-7929,11 - Public School Lunch,1,False,2024-09-09,4-601.11(B) and (C); Core; Clean the filters above the hood to remove the hood.  Equipment shall be kept free of an accumulation of dust a
LITTLE CAESARS #75,6727-B  KNIGHTDALE BLVD ,KNIGHTDALE,27545,(919) 665-6781,2 - Food Stands,1,False,2024-09-09,ates and light shields; pizza oven vent hood filters...Physical facilities shall be kept clean...Increase clean
KANKI JAPANESE HOUSE OF STEAKS,4500 OLD WAKE FOREST RD ,RALEIGH,27609-6235,(919) 876-4157,1 - Restaurant,1,False,2024-09-11,as light debris buildup. The dishwasher hood under the lip of the doors has light residue buildup...Nonfood-contact surfaces of equipment shall be kept fre
FUJI CHINA,4001 WIDEWATER PKY ,KNIGHTDALE,27545,(919) 217-8568,1 - Restaurant,1,False,2024-09-12,ceiling panels throughout kitchen. Some grease was accumulated on edges of vent hood above cooking line...Physical facilities shall be kept clea
LUFKIN MIDDLE SCHOOL CAFETERIA,1002 LUFKIN RD ,APEX,27539-8160,(919) 363-1090,11 - Public School Lunch,1,False,2024-09-16,the tile divider wall under the cooking hood has dust accumulation as well. The nonfood-contact surfaces of equip
PANDA GARDEN,5249 SUNSET LAKE RD ,HOLLY SPRINGS,27540,(919) 360-5000,1 - Restaurant,1,False,2024-09-16,alk in cooler has food debris build up. Hood filters have grease build up. Nonfood contact surfaces shall be cleaned at a frequenc
BLOOMSBURY BISTRO,509 W WHITAKER MILL RD ,RALEIGH,27608-2400,(919) 834-2011,1 - Restaurant,1,False,2024-09-24,4-602.13; Core; Cleaning needed of speed rack and hood filters. NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cle
LONGHORN STEAKHOUSE #251,8121 BRIER CREEK PKY ,RALEIGH,27617,(919) 484-7669,1 - Restaurant,1,False,2024-10-04,due on a couple walk-in cooler shelves; grease buildup on the hood vents.  Nonfood-contact surfaces of equipment shall be kept
BRIER CREEK ELEM. SCH. LUNCHROOM,9801 BRIER CREEK PKY,RALEIGH,27617,(919) 484-4747,11 - Public School Lunch,1,False,2024-10-07,nvironmental contamination.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
BEANSPROUT RESTAURANT,3721 HILLSBOROUGH ST ,RALEIGH,27607,(919) 755-0554,1 - Restaurant,1,False,2024-10-07,Observation: The wall in the hood system has a heavy accumulaiton of grease buildup. Ensire that piping and floors under sinks are cleaned of
JOHNNY'S PIZZA,722 N JUDD PKWY NE,FUQUAY-VARINA,27526-7394,(919) 552-6322,1 - Restaurant,1,False,2024-10-09,om falling on kitchen items. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
RUDINO'S PARKSIDE,4022 VILLAGE PARK DR ,KNIGHTDALE,27545,(919) 261-0143,1 - Restaurant,1,False,2024-10-16,jacent pipes/tubes were dusty; and vent hood filters were dusty/soiled. Bathroom door sides/edges were soiled...Physical facilit
WENDY'S #11554,3701 NEW BERN AVE ,RALEIGH,27610,(919) 250-6034,1 - Restaurant,1,False,2024-10-18,aker top.  6-501.12; Core - Ventilation hoods and filters above cooking/frying equipment were soiled and/or had grease accumulation. Floor corners and some wall corners were soil
RED ROBIN #306,7860 ALEXANDER PROMENADE PL ,RALEIGH,27617,(919) 957-2880,1 - Restaurant,1,False,2024-10-25,a and soft drink line area.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
THE HICKORY TAVERN #26,1156 PARKSIDE MAIN ST ,CARY,27519,(919) 466-7802,1 - Restaurant,1,False,2024-11-04, walk-in cooler had dust accumulations. Exhaust vent had accumulations of grease and food debris. Clean areas listed.
BRU'S PUBLIC HOUSE,5433 WADE PARK BLVD ,RALEIGH,27607,(919) 977-8755,1 - Restaurant,1,False,2024-11-04, debris inside reach-in cooler gaskets. Grease build-up on hood ventilation system over grill/fryer station. Nonfood-contac
BUFFALO WILD WINGS # 113,148 SHENSTONE BLVD ,GARNER,27529,(919) 661-5238,1 - Restaurant,1,False,2024-11-05,ion of dust and debris. ; A) Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
MACGREGOR DRAFT HOUSE,107 EDINBURGH SOUTH DR ,CARY,27511,(919) 461-1633,1 - Restaurant,1,False,2024-11-07,has heavy dust accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
CAROLINA ALE HOUSE,7981 SKYLAND RIDGE PKY ,RALEIGH,27606,(919) 957-4200,1 - Restaurant,1,False,2024-11-07,6-501.14; Core; Observed dust starting to build up on the ceiling vents and grease build up on the hood vent inserts over the fryers.  Intake and exhaust air ducts
WALMART #4484 DELI,8031 OLD WAKE FOREST RD ,RALEIGH,27616,(919) 424-6235,2 - Food Stands,1,False,2024-11-08, ice build up on walk-in freezer floor. Dusty hood ventilation filters. Physical facilities shall be cleaned a
TENKO JAPAN,4040 ED  DR ,RALEIGH,27612,(919) 781-5181,1 - Restaurant,1,False,2024-11-14,tact Surfaces; and Utensils  (C); Grill hood has grease lines and grease residue accumulating. Non food contact surfaces shall be cleaned at
TAZA GRILL #2,10940 RAVEN RIDGE  RD ,RALEIGH,27614,(919) 845-7772,1 - Restaurant,1,False,2024-11-18,6-501.12; Core; Hood vents in need of cleaning to remove the accumulated residue and soot. PIC stated that the hoods are scheduled to be pro
HARRIS TEETER #496 STARBUCKS,940 US 64 HWY W,APEX,27523,,1 - Restaurant,1,False,2024-11-20, oven has dust accumulation. Change the filters and clean the intake and exhaust air ducts so they are not a source of contamination by dust
GOOD TASTE CHINESE RESTAURANT,532 W GANNON  AVE,ZEBULON,27597,(919) 404-1218,1 - Restaurant,1,False,2024-11-20,4-602.13; Core; The hoods have buildup of oils and dust.- Nonfood contact surfaces of equipment shall be cleaned at
HIBACHI JAPAN,7216 GB ALFORD HWY ,HOLLY SPRINGS,27540,(919) 557-7216,1 - Restaurant,1,False,2024-11-21, cooking equipment has debris build up. Hood above flat top has debris build up. Nonfood contact surfaces shall be cleaned at a frequenc
JERSEY MIKE'S #3024,701 CARY TOWNE BLVD ,CARY,27511,(919) 461-8100,1 - Restaurant,1,False,2024-11-26,4-601.11(C ); The filter hoods and light fixtures above the grill line have an accumulati
BOJANGLES,4621 NEW BERN AVE ,RALEIGH,27610,(919) 231-9028,1 - Restaurant,1,False,2024-12-04,eams of kitchen ventilation hoods. Some filters in main vent hood were damaged and gaps were between some filters...Physical 
PHO SURE,7451 SIX FORKS RD ,RALEIGH,27615,(919) 637-8243,1 - Restaurant,1,False,2024-12-09,4-602.13; Core; Removable hood vents have unclean buildup/dust accumulation and should be taken down and cleaned more frequently. Nonfood-contact surfaces of equipment sh
NOODLES   COMPANY #871,2031 CAMERON ST,RALEIGH,27605,,1 - Restaurant,1,False,2024-12-09, chicken. This equipment is not under a hood system and accumulation of grease and debris is occurring on the ceiling; wall and shelving u
KOKI,10970 CHAPEL HILL RD ,MORRISVILLE,27560,,1 - Restaurant,1,False,2024-12-10,ere soiled with food debris and grease. Exhaust hood was soiled with accumulations of grease. Nonfood-contact surfaces shall be kept free of an accumula
WHISKY RIVER,2400 JOHN BRANTLEY BLVD ,MORRISVILLE,27560,,1 - Restaurant,1,False,2024-12-10,ng unit for storing dishes.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
ARMANDO'S PIZZA,103  N ARENDELL  AVE ,ZEBULON,27597,(919) 646-0042,1 - Restaurant,1,False,2024-12-10,4-602.13; Core; Cleaning is needed inside of the gaskets throughout as well as the hoods..- Nonfood contact surfaces of equipment shall be cleaned 
CHA HOUSE,1319 KILDAIRE FARM RD ,CARY,27511,(984) 465-0498,1 - Restaurant,1,False,2024-12-17,4-601.11(Core) The filters on the hood above the grill line were very duty.  Keep non food contact
N.Y. BAGELS   DELI,7909-121 FALLS OF NEUSE RD ,RALEIGH,27615,(919) 848-1310,1 - Restaurant,1,False,2024-12-17,ving throughout the facility. Removable hood vents also need cleaning. Nonfood-contact surfaces of equipment shall be cleaned 
WHOLE FOODS MARKET #10611 CULINARY,5055 ARCO ST ,CARY,27519,(984) 228-0300,1 - Restaurant,1,False,2025-01-03,ls  (C) Tracts on deli display case and hood panels at the pizza oven were soiled with food and other debris. Nonfood-contact surfaces shal
CAROLINA FISH FRY,1566 BENSON  RD ,GARNER,27529,(919) 322-2223,1 - Restaurant,1,False,2025-01-06,urfaces  (C) - Observed an accumulation grease build-up along the hood vent above the deep fryer unit. Also noted an accumulation 
PUBLIX 1551 PRODUCE,9640 LEESVILE RD ,RALEIGH,27613,(919) 848-3480,2 - Food Stands,1,False,2025-01-07, cover on the ceiling unit.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
RUDY'S PUB   GRILL,780 W WILLIAMS ST ,APEX,27502,(919) 303-5061,1 - Restaurant,1,False,2025-01-09,a and near warewashing area. Change the filters and clean the intake and exhaust air ducts so they are not a source of contamination by dust
JERSEY MIKE'S #3005,957 HIGH HOUSE RD ,CARY,27513,(919) 461-0660,1 - Restaurant,1,False,2025-01-09,cleaning of vents is needed. Change the filters and clean the intake and exhaust air ducts so they are not a source of contamination by dust
EL SENOR,2001 WIDEWATER PKY ,KNIGHTDALE,27545,(919) 261-0808,1 - Restaurant,1,False,2025-01-13,ing area ceiling light shields and vent hood were soiled...Physical facilities shall be kept clean...Increase clea
THE CAMBRIDGE VILLAGE AT BRIER CREEK,7901 T W ALEXANDER DR,RALEIGH,27617,(919) 808-1380,1 - Restaurant,1,False,2025-01-14,nts throughout the kitchen.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
BOJANGLE'S #55,151 COLLINS CROSSING RD,HOLLY SPRINGS,27540,,1 - Restaurant,1,False,2025-01-16,6-501.13 Cleaning Floors; Dustless Methods  (C) Flour build up observed on ceilings and hood in biscuit making station. 
COW BAR @ MSFH,411 W MORGAN ST ,RALEIGH,27603,(702) 544-9413,2 - Food Stands,1,False,2025-01-16,cumulate on the inner wall. Ventilation hood systems and devices shall prevent grease or condensation from collecting on EQUIPMENT; walls; and ce
BISCUITVILLE # 169,605 STELLATA DR ,FUQUAY-VARINA,27526-1946,(919) 577-6380,1 - Restaurant,1,False,2025-01-17,eaning; Frequency and Restrictions  (C) Grease running down wall to right of grill from behind hood system. Facilities shall be cleaned as often as necessary t
HARRIS CREEK ELEM. SCHOOL LUNCHROOM,3829 FORESTVILLE RD ,RALEIGH,27616,(919) 217-5100,11 - Public School Lunch,1,False,2025-01-17,6-501.12; Core; Observed dusty hood ventilation filters. Physical facilities shall be cleaned a
TASTE OF CHINA,14460 FALLS OF NEUSE RD ,RALEIGH,27614,(919) 488-3737,1 - Restaurant,1,False,2025-01-24,4-601.11(B) and (C); Core; The hood vents over the fryers have oil running down them and a slight buildup of debris. Nonfood contact surfaces shall be cleaned freq
INIS KITCHEN,624 LAKESTONE COMMONS AVE,FUQUAY-VARINA,27526,,1 - Restaurant,1,False,2025-01-27,on ceiling vents in kitchen. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
TUPELO HONEY CAFE,425 OBERLIN ROAD,RALEIGH,27605,(919) 723-9353,1 - Restaurant,1,False,2025-01-27,d Discharge Prohibition  (C) Change the filters and clean the intake and exhaust air ducts so they are not a source of contamination by dust
SIP N SPICES,120 MORRISVILLE SQUARE WAY,MORRISVILLE,27560,(919) 234-1738,1 - Restaurant,1,False,2025-01-30,4-602.13 Nonfood Contact Surfaces  (C) Hood filters soiled with grease buildup. Nonfood contact surfaces of equipment shall be free of d
ACME PIZZA CO,204 VILLAGE WALK DR ,HOLLY SPRINGS,27540,(919) 552-8800,1 - Restaurant,1,False,2025-01-31,neath dish machine have heavy build up. Hood has dust and debris build up. Ceilings surrounding air returns in dish area and cook 
PHO 919,3504 DAVIS DR ,MORRISVILLE,27560,(919) 377-0318,1 - Restaurant,1,False,2025-01-31,4-602.13 Nonfood Contact Surfaces  (C) Hood filters soiled with heavy grease and grime build up. Labels and label residue found on clean drink pitchers.
HIBACHI JAPAN,11216 CAPITAL  BLVD ,WAKE FOREST,27587,(919) 556-8882,1 - Restaurant,1,False,2025-01-31, in back storage and mop sink areas and grease build-up on back kitchen vent hood filters...Physical facilities shall be kept clean...Increas
RAINBOW KING,12520 CAPITAL BLVD ,WAKE FOREST,27587,(919) 554-8888,1 - Restaurant,1,False,2025-02-03,floor drains; drain pipes and some vent hood filters...Physical facilities shall be kept clean...Increase clean
KOBE HIBACHI   SUSHI,515 N MAIN ST ,HOLLY SPRINGS,27540,(919) 557-1437,1 - Restaurant,1,False,2025-02-05,uipment behind cook line and underneath hood has grease accumulation. Nonfood contact surfaces shall be cleaned at 
HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,MORRISVILLE,27560,(919) 388-5355,1 - Restaurant,1,False,2025-02-06, with grease and food debris. Panels on exhaust hood were soiled with accumulations of grease. Nonfood-contact surfaces shall be kept free of an accumula
CHUAN CAFE,2004 NEW BERN AVE ,RALEIGH,27610,(919) 594-1772,1 - Restaurant,1,False,2025-02-06,4-204.11 Exhaust ventilation hood systems in food preparation and warewashing areas shall be designed to prevent grease or condensation from draining or dripping on to food; equip
KIKO JAPAN EXPRESS,1018-C SHOPPES AT MIDWAY DR ,KNIGHTDALE,27545,(919) 217-3918,1 - Restaurant,1,False,2025-02-06,ng fixtures.  6-501.12; Core - Observed soiled vent hood filters and wall and pipes behind cooking line...Physical f
EL TAPATIO #4,4511 NEW BERN AVE,RALEIGH,27610,(919) 255-9161,1 - Restaurant,1,False,2025-02-07,em) were located by kitchen ventilation hood and near food preparation and clean equipment areas...Insect control devices shall be installed
HILLCREST RALEIGH AT CRABTREE VALLEY REHAB   H,3830 BLUE RIDGE RD ,RALEIGH,27612,(919) 781-4900,16 - Institutional Food Service,1,False,2025-02-11,ils  (C); Walk in cooler fans and grill hood fans have dust building and should be cleaned. Non food contact surfaces shall be kept free of soil res
ANGUS BARN,9401 GLENWOOD AVE ,RALEIGH,27628,(919) 781-2444,1 - Restaurant,1,False,2025-02-13, areas of the Loft kitchen.  Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
BURGER KING #1094,6300 CAPITAL BLVD ,RALEIGH,27616-3048,(919) 872-6307,1 - Restaurant,1,False,2025-02-13,to ice machine in back kitchen area and soiled hood ventilation filters at fryers. Physical facilities shall be
SCOTTS RIDGE ELEMENTARY CAFETERIA,6601 APEX BARBEQUE RD ,APEX,27502,(919) 694-0300,11 - Public School Lunch,1,False,2025-02-25,has heavy dust accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
NAOS,2800 RENAISSANCE PARK PL ,CARY,27513,,1 - Restaurant,1,False,2025-02-25,hall be cleaned: plate storage cubbies; hood panels/filters; cooling drawer cavities/interiors. Non food contact surfa
WHOLE FOODS #10338 PREPARED FOODS,8710 SIX FORKS RD ,RALEIGH,27615,(919) 354-0350,1 - Restaurant,1,False,2025-03-07, good repair.   6-501.12 Core; Observed dust accumulation on hood above grill on the line.   Physical facilities shall be cle
OKOME HOUSE,"4551 NEW BERN AVE, STE 130",RALEIGH,27610,(919) 977-3555,1 - Restaurant,1,False,2025-03-07,4-204.11; Core - One whole ventilation hood (on left) had no filters in place; and frying/cooking was taking place under hood..
WENDY'S #11590,2091 S MAIN ST ,WAKE FOREST,27587,(919) 569-2133,1 - Restaurant,1,False,2025-03-10,rds on the evaporator in the walk has a buildup of dust as well as the green rack in the hood area by the fryers .  Non-food contact surfaces shall be cl
